model_name	rule_name	date	close	predicted_probability	selected	threshold	cutoff
rolling_vol_60	top_10pct	2026-01-16	691.659973	0.373482	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-01-20	677.580017	0.427281	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-01-21	685.400024	0.411699	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-01-22	688.97998	0.378967	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-01-23	689.22998	0.372451	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-01-26	692.72998	0.364661	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-01-27	695.48999	0.34232	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-01-28	695.419983	0.356823	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-01-29	694.039978	0.38616	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-01-30	691.969971	0.39102	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-02-02	695.409973	0.372312	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-02-03	689.530029	0.400784	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-02-04	686.190002	0.394504	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-02-05	677.619995	0.414161	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-02-06	690.619995	0.380403	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-02-09	693.950012	0.369587	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-02-10	692.119995	0.367215	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-02-11	691.960022	0.375202	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-02-12	681.27002	0.421128	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-02-13	681.75	0.406329	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-02-17	682.849976	0.393889	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-02-18	686.289978	0.381953	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-02-19	684.47998	0.379095	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-02-20	689.429993	0.374763	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-02-23	682.390015	0.395691	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-02-24	687.349976	0.369419	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-02-25	693.150024	0.349743	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-02-26	689.299988	0.371033	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-02-27	685.98999	0.380731	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-03-02	686.380005	0.387274	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-03-03	680.330017	0.406887	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-03-04	685.130005	0.378768	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-03-05	681.309998	0.401865	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-03-06	672.380005	0.4092	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-03-09	678.27002	0.400782	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-03-10	677.179993	0.400184	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-03-11	676.330017	0.384829	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-03-16	669.030029	0.393598	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-03-17	670.789978	0.389515	False	0.381	0.452192
